Name,Political Affiliation at Appointment,Province / Territory,Appointed on the advice of,Term (yyyy.mm.dd),start_date,end_date,reason,diff_days,observed
"Steuart, David Gordon",Liberal Party of Canada,Saskatchewan,"Trudeau, Pierre Elliott",1976.12.09 - 1991.01.26  (Retirement),1976-12-09 00:00:00,1991-01-26 00:00:00,Retirement,5161,True
"Stevens, Gardner Green",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1876.02.12 - 1892.04.15  (Death),1876-02-12 00:00:00,1892-04-15 00:00:00,Death,5907,True
"Stevenson, John James",Liberal Party of Canada,Saskatchewan,"King, William Lyon Mackenzie",1940.01.29 - 1956.09.21  (Death),1940-01-29 00:00:00,1956-09-21 00:00:00,Death,6080,True
"Stewart Olsen, Carolyn",Conservative Party of Canada,New Brunswick,"Harper, Stephen",2009.08.27 -,2009-08-27 00:00:00,2013-10-01 22:20:10.165196,,1496,False
"Stewart, John B.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 1999.11.19  (Retirement),1984-01-13 00:00:00,1999-11-19 00:00:00,Retirement,5789,True
"Stollery, Peter A.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1981.07.02 - 2010.11.29  (Retirement),1981-07-02 00:00:00,2010-11-29 00:00:00,Retirement,10742,True
"St-Père, Édouard-Charles",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1950.01.31  (Death),1940-02-09 00:00:00,1950-01-31 00:00:00,Death,3644,True
"Stratton, Terry",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian",1993.03.25 - 2013.03.16  (Retirement),1993-03-25 00:00:00,2013-03-16 00:00:00,Retirement,7296,True
"Sullivan, Joseph Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.10.12 - 1985.02.18  (Resignation),1957-10-12 00:00:00,1985-02-18 00:00:00,Resignation,9991,True
"Sullivan, Michael",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1885.01.29 - 1912.11.29  (Resignation),1885-01-29 00:00:00,1912-11-29 00:00:00,Resignation,10165,True
"Sutherland, Donald",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1935.07.20 - 1949.01.01  (Death),1935-07-20 00:00:00,1949-01-01 00:00:00,Death,4914,True
"Sutherland, John",Independent Conservative,Manitoba,"Macdonald, John Alexander",1871.12.13 - 1899.04.13  (Resignation),1871-12-13 00:00:00,1899-04-13 00:00:00,Resignation,9983,True
"Sylvain, John",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1990.09.07 - 1996.02.01  (Resignation),1990-09-07 00:00:00,1996-02-01 00:00:00,Resignation,1973,True
"Talbot, Peter",Liberal Party of Canada,Alberta,"Laurier, Wilfrid",1906.03.08 - 1919.12.06  (Death),1906-03-08 00:00:00,1919-12-06 00:00:00,Death,5021,True
"Tannas, Scott",Conservative Party of Canada,Alberta,"Harper, Stephen",2013.03.25 -,2013-03-25 00:00:00,2013-10-01 22:20:10.165196,,190,False
"Tanner, Charles Elliott",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1917.01.20 - 1946.01.13  (Death),1917-01-20 00:00:00,1946-01-13 00:00:00,Death,10585,True
"Tardif, Claudette",Liberal Party of Canada,Alberta,"Martin, Paul Edgar Philippe",2005.03.24 -,2005-03-24 00:00:00,2013-10-01 22:20:10.165196,,3113,False
"Tassé, Joseph",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1891.02.09 - 1895.01.17  (Death),1891-02-09 00:00:00,1895-01-17 00:00:00,Death,1438,True
"Taylor, Austin Claude",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1957.01.03 - 1965.01.17  (Death),1957-01-03 00:00:00,1965-01-17 00:00:00,Death,2936,True
"Taylor, George",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1911.11.14 - 1919.03.26  (Death),1911-11-14 00:00:00,1919-03-26 00:00:00,Death,2689,True
"Taylor, James Davis",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.10.23 - 1941.05.11  (Death),1917-10-23 00:00:00,1941-05-11 00:00:00,Death,8601,True
"Taylor, Nicholas W.",Liberal Party of Canada,Alberta,"Chrétien, Joseph Jacques Jean",1996.03.07 - 2002.11.17  (Retirement),1996-03-07 00:00:00,2002-11-17 00:00:00,Retirement,2446,True
"Taylor, William Horace",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01  (Resignation),1945-04-18 00:00:00,1966-06-01 00:00:00,Resignation,7714,True
"Teed, Nancy Elizabeth",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1990.08.30 - 1993.01.29  (Death),1990-08-30 00:00:00,1993-01-29 00:00:00,Death,883,True
"Temple, Thomas",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1896.04.23 - 1899.08.25  (Death),1896-04-23 00:00:00,1899-08-25 00:00:00,Death,1219,True
"Templeman, William",Liberal Party of Canada,British Columbia,"Laurier, Wilfrid",1897.11.18 - 1906.02.16  (Resignation),1897-11-18 00:00:00,1906-02-16 00:00:00,Resignation,3011,True
"Tessier, Jules",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.03.12 - 1934.01.06  (Death),1903-03-12 00:00:00,1934-01-06 00:00:00,Death,11258,True
"Tessier, Ulric Joseph",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1873.02.11  (Resignation),1867-10-23 00:00:00,1873-02-11 00:00:00,Resignation,1938,True
"Thériault, Edward Joseph",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1968.04.20 - 1968.12.20  (Death),1968-04-20 00:00:00,1968-12-20 00:00:00,Death,244,True
"Thériault, L. Norbert",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1979.03.26 - 1996.02.16  (Retirement),1979-03-26 00:00:00,1996-02-16 00:00:00,Retirement,6171,True
"Thibaudeau, Alfred",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1896.08.22 - 1926.08.15  (Death),1896-08-22 00:00:00,1926-08-15 00:00:00,Death,10949,True
"Thibaudeau, Joseph-Rosaire",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1878.01.04 - 1909.06.16  (Death),1878-01-04 00:00:00,1909-06-16 00:00:00,Death,11485,True
"Thompson, Andrew",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1998.03.23  (Resignation),1967-04-06 00:00:00,1998-03-23 00:00:00,Resignation,11309,True
"Thompson, Frederick Pemberton",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1902.02.07 - 1922.04.27  (Death),1902-02-07 00:00:00,1922-04-27 00:00:00,Death,7384,True
"Thorne, William Henry",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1913.07.26 - 1923.07.08  (Death),1913-07-26 00:00:00,1923-07-08 00:00:00,Death,3634,True
"Thorvaldson, Gunnar Solmundur",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1958.01.29 - 1969.08.02  (Death),1958-01-29 00:00:00,1969-08-02 00:00:00,Death,4203,True
"Tkachuk, David",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian",1993.06.08 -,1993-06-08 00:00:00,2013-10-01 22:20:10.165196,,7420,False
"Tobin, Edmund William",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1938.06.24  (Death),1930-06-03 00:00:00,1938-06-24 00:00:00,Death,2943,True
"Todd, Irving Randall",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1918.03.07 - 1932.12.27  (Death),1918-03-07 00:00:00,1932-12-27 00:00:00,Death,5409,True
"Todd, William",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1867.10.23  (Appointment declined),1867-10-23 00:00:00,1867-10-23 00:00:00,Appointment declined,0,True
"Tremblay, Arthur Julien",Progressive Conservative Party,Quebec,"Clark, Charles Joseph",1979.09.27 - 1992.06.18  (Retirement),1979-09-27 00:00:00,1992-06-18 00:00:00,Retirement,4648,True
"Tremblay, Léonard-David Sweezey",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1965.09.02  (Resignation),1953-06-12 00:00:00,1965-09-02 00:00:00,Resignation,4465,True
"Trenholme Counsell, Marilyn",Liberal Party of Canada,New Brunswick,"Chrétien, Joseph Jacques Jean",2003.09.09 - 2008.10.22  (Retirement),2003-09-09 00:00:00,2008-10-22 00:00:00,Retirement,1870,True
"Trudel, François-Xavier-Anselme",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.31 - 1890.01.17  (Death),1873-10-31 00:00:00,1890-01-17 00:00:00,Death,5922,True
"Tunney, James",Liberal Party of Canada,Ontario,"Chrétien, Joseph Jacques Jean",2001.03.08 - 2002.06.16  (Retirement),2001-03-08 00:00:00,2002-06-16 00:00:00,Retirement,465,True
"Turgeon, James Gray",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1964.02.14  (Death),1947-01-27 00:00:00,1964-02-14 00:00:00,Death,6227,True
"Turgeon, Onésiphore",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1922.10.27 - 1944.11.18  (Death),1922-10-27 00:00:00,1944-11-18 00:00:00,Death,8058,True
"Turner, Charles Robert",Liberal Party of Canada,Ontario,"Turner, John Napier",1984.07.09 - 1991.03.24  (Retirement),1984-07-09 00:00:00,1991-03-24 00:00:00,Retirement,2449,True
"Turner, James",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1884.01.11 - 1889.10.10  (Death),1884-01-11 00:00:00,1889-10-10 00:00:00,Death,2099,True
"Turriff, John Gillanders",Liberal Party of Canada,Saskatchewan,"Borden, Robert Laird",1918.09.23 - 1930.11.10  (Death),1918-09-23 00:00:00,1930-11-10 00:00:00,Death,4431,True
"Twinn, Walter",Progressive Conservative Party,Alberta,"Mulroney, Martin Brian",1990.09.27 - 1997.10.30  (Death),1990-09-27 00:00:00,1997-10-30 00:00:00,Death,2590,True
"Unger, Betty E.",Conservative Party of Canada,Alberta,"Harper, Stephen",2012.01.06 -,2012-01-06 00:00:00,2013-10-01 22:20:10.165196,,634,False
"Urquhart, Earl Wallace",Liberal Party of Canada,Nova Scotia,"Pearson, Lester Bowles",1966.02.24 - 1971.08.17  (Death),1966-02-24 00:00:00,1971-08-17 00:00:00,Death,2000,True
"Vaillancourt, Cyrille",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1969.01.03  (Resignation),1944-03-03 00:00:00,1969-01-03 00:00:00,Resignation,9072,True
"Van Roggen, George Clifford",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.11.04 - 1992.06.08  (Death),1971-11-04 00:00:00,1992-06-08 00:00:00,Death,7522,True
"Veniot, Clarence Joseph",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01  (Resignation),1945-04-18 00:00:00,1966-06-01 00:00:00,Resignation,7714,True
"Verner, Josée",Conservative Party of Canada,Quebec,"Harper, Stephen",2011.06.13 -,2011-06-13 00:00:00,2013-10-01 22:20:10.165196,,841,False
"Vidal, Alexander",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.01.15 - 1906.11.18  (Death),1873-01-15 00:00:00,1906-11-18 00:00:00,Death,12359,True
"Vien, Thomas",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.10.05 - 1968.04.01  (Resignation),1942-10-05 00:00:00,1968-04-01 00:00:00,Resignation,9310,True
"Villeneuve, Joseph Octave",Conservative (1867-1942),Quebec,"Bowell, Mackenzie",1896.01.02 - 1901.06.27  (Death),1896-01-02 00:00:00,1901-06-27 00:00:00,Death,2002,True
"Wagner, Claude",Progressive Conservative Party,Quebec,"Trudeau, Pierre Elliott",1978.04.21 - 1979.07.11  (Death),1978-04-21 00:00:00,1979-07-11 00:00:00,Death,446,True
"Walker, David James",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1989.09.30  (Resignation),1963-02-04 00:00:00,1989-09-30 00:00:00,Resignation,9735,True
"Wall, William Michael",Liberal Party of Canada,Manitoba,"St-Laurent, Louis Stephen",1955.07.28 - 1962.07.07  (Death),1955-07-28 00:00:00,1962-07-07 00:00:00,Death,2536,True
"Wallace, John D.",Conservative Party of Canada,New Brunswick,"Harper, Stephen",2009.01.02 -,2009-01-02 00:00:00,2013-10-01 22:20:10.165196,,1733,False
"Wallin, Pamela",Conservative Party of Canada,Saskatchewan,"Harper, Stephen",2009.01.02 -,2009-01-02 00:00:00,2013-10-01 22:20:10.165196,,1733,False
"Wark, David",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1905.08.20  (Death),1867-10-23 00:00:00,1905-08-20 00:00:00,Death,13815,True
"Waters, Stanley Charles",Reform Party,Alberta,"Mulroney, Martin Brian",1990.06.11 - 1991.09.25  (Death),1990-06-11 00:00:00,1991-09-25 00:00:00,Death,471,True
"Watson, Robert",Liberal Party of Canada,Manitoba,"Laurier, Wilfrid",1900.01.29 - 1929.05.19  (Death),1900-01-29 00:00:00,1929-05-19 00:00:00,Death,10702,True
"Watt, Charlie",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.16 -,1984-01-16 00:00:00,2013-10-01 22:20:10.165196,,10851,False
"Webster, John",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1918.03.12 - 1928.12.01  (Death),1918-03-12 00:00:00,1928-12-01 00:00:00,Death,3917,True
"Webster, Lorne Campbell",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1920.01.10 - 1941.09.27  (Death),1920-01-10 00:00:00,1941-09-27 00:00:00,Death,7931,True
"Welch, Frank Corbett",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1962.09.25 - 1975.07.14  (Resignation),1962-09-25 00:00:00,1975-07-14 00:00:00,Resignation,4675,True
"Wells, David M.",Conservative Party of Canada,Newfoundland and Labrador,"Harper, Stephen",2013.01.25 -,2013-01-25 00:00:00,2013-10-01 22:20:10.165196,,249,False
"Whelan, Eugene",Liberal Party of Canada,Ontario,"Chrétien, Joseph Jacques Jean",1996.08.09 - 1999.07.11  (Retirement),1996-08-09 00:00:00,1999-07-11 00:00:00,Retirement,1066,True
"White, George Stanley",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.09.20 - 1972.11.17  (Resignation),1957-09-20 00:00:00,1972-11-17 00:00:00,Resignation,5537,True
"White, Gerald Verner",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1919.11.06 - 1948.10.24  (Death),1919-11-06 00:00:00,1948-10-24 00:00:00,Death,10580,True
"White, Richard Smeaton",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.30 - 1936.12.17  (Death),1917-07-30 00:00:00,1936-12-17 00:00:00,Death,7080,True
"White, Vernon",Conservative Party of Canada,Ontario,"Harper, Stephen",2012.02.20 -,2012-02-20 00:00:00,2013-10-01 22:20:10.165196,,589,False
"Wiebe, John (Jack)",Liberal Party of Canada,Saskatchewan,"Chrétien, Joseph Jacques Jean",2000.04.07 - 2004.01.31  (Resignation),2000-04-07 00:00:00,2004-01-31 00:00:00,Resignation,1394,True
"Wier, Benjamin",Liberal Party of Canada,Nova Scotia,Royal Proclamation,1867.10.23 - 1868.04.14  (Death),1867-10-23 00:00:00,1868-04-14 00:00:00,Death,174,True
"Williams, Guy R.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.12.09 - 1982.10.07  (Retirement),1971-12-09 00:00:00,1982-10-07 00:00:00,Retirement,3955,True
"Willis, Harry Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.06.15 - 1972.03.23  (Death),1962-06-15 00:00:00,1972-03-23 00:00:00,Death,3569,True
"Willoughby, Wellington Bartley",Conservative (1867-1942),Saskatchewan,"Borden, Robert Laird",1917.10.23 - 1932.08.01  (Death),1917-10-23 00:00:00,1932-08-01 00:00:00,Death,5396,True
"Wilmot, Robert Duncan",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1880.02.10  (Resignation),1867-10-23 00:00:00,1880-02-10 00:00:00,Resignation,4493,True
"Wilson, Cairine Reay",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1930.02.15 - 1962.03.03  (Death),1930-02-15 00:00:00,1962-03-03 00:00:00,Death,11704,True
"Wilson, Charles",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1877.05.04  (Death),1867-10-23 00:00:00,1877-05-04 00:00:00,Death,3481,True
"Wilson, John Henry",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1904.03.08 - 1912.07.03  (Death),1904-03-08 00:00:00,1912-07-03 00:00:00,Death,3039,True
"Wilson, Joseph-Marcellin",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1911.05.03 - 1939.01.01  (Resignation),1911-05-03 00:00:00,1939-01-01 00:00:00,Resignation,10105,True
"Wilson, Lawrence Alexander",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1934.03.03  (Death),1930-06-03 00:00:00,1934-03-03 00:00:00,Death,1369,True
"Wilson, Lois",Independent,Ontario,"Chrétien, Joseph Jacques Jean",1998.06.11 - 2002.04.08  (Retirement),1998-06-11 00:00:00,2002-04-08 00:00:00,Retirement,1397,True
"Wood, Andrew Trew",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1901.01.21 - 1903.01.21  (Death),1901-01-21 00:00:00,1903-01-21 00:00:00,Death,730,True
"Wood, Dalia",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.26 - 1999.01.31  (Resignation),1979-03-26 00:00:00,1999-01-31 00:00:00,Resignation,7251,True
"Wood, Josiah",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1895.08.05 - 1912.03.12  (Resignation),1895-08-05 00:00:00,1912-03-12 00:00:00,Resignation,6063,True
"Wood, Thomas Harold",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1949.01.25 - 1965.11.26  (Death),1949-01-25 00:00:00,1965-11-26 00:00:00,Death,6149,True
"Woodrow, Allan Lee",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.05.19 - 1966.03.15  (Resignation),1953-05-19 00:00:00,1966-03-15 00:00:00,Resignation,4683,True
"Yeo, John",Liberal Party of Canada,Prince Edward Island,"Laurier, Wilfrid",1898.11.19 - 1924.12.14  (Death),1898-11-19 00:00:00,1924-12-14 00:00:00,Death,9521,True
"Young, Finlay McNaughton",Liberal Party of Canada,Manitoba,"Laurier, Wilfrid",1900.01.30 - 1916.02.15  (Death),1900-01-30 00:00:00,1916-02-15 00:00:00,Death,5859,True
"Yuzyk, Paul",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1963.02.04 - 1986.07.09  (Death),1963-02-04 00:00:00,1986-07-09 00:00:00,Death,8556,True
"Zimmer, Rod A. A.",Liberal Party of Canada,Manitoba,"Martin, Paul Edgar Philippe",2005.08.02 - 2013.08.02  (Resignation),2005-08-02 00:00:00,2013-08-02 00:00:00,Resignation,2922,True
"Desruisseaux, Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1980.05.01  (Retirement),1966-07-08 00:00:00,1980-05-01 00:00:00,Retirement,5046,True
"Dessaulles, Georges-Casimir",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1907.03.12 - 1930.04.19  (Death),1907-03-12 00:00:00,1930-04-19 00:00:00,Death,8439,True
"Dessureault, Jean-Marie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.06.09 - 1970.08.16  (Resignation),1945-06-09 00:00:00,1970-08-16 00:00:00,Resignation,9199,True
"DeVeber, Leverett George",Liberal Party of Canada,Alberta,"Laurier, Wilfrid",1906.03.08 - 1925.07.09  (Death),1906-03-08 00:00:00,1925-07-09 00:00:00,Death,7063,True
"Dever, James",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1904.05.07  (Death),1868-03-14 00:00:00,1904-05-07 00:00:00,Death,13202,True
"DeWare, Mabel M.",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1990.09.23 - 2001.08.09  (Retirement),1990-09-23 00:00:00,2001-08-09 00:00:00,Retirement,3973,True
"Di Nino, Consiglio",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1990.08.30 - 2012.06.30  (Resignation),1990-08-30 00:00:00,2012-06-30 00:00:00,Resignation,7975,True
"Dickey, Robert Barry",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1903.07.14  (Death),1867-10-23 00:00:00,1903-07-14 00:00:00,Death,13047,True
"Dickson, Fred",Conservative Party of Canada,Nova Scotia,"Harper, Stephen",2009.01.02 - 2012.02.09  (Death),2009-01-02 00:00:00,2012-02-09 00:00:00,Death,1133,True
"Dickson, Walter Hamilton",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1884.02.14  (Resignation),1867-10-23 00:00:00,1884-02-14 00:00:00,Resignation,5958,True
"Dobson, John",Conservative (1867-1942),Ontario,"Abbott, John Joseph Caldwell",1892.02.23 - 1907.01.27  (Death),1892-02-23 00:00:00,1907-01-27 00:00:00,Death,5451,True
"Domville, James",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1903.04.20 - 1921.07.30  (Death),1903-04-20 00:00:00,1921-07-30 00:00:00,Death,6676,True
"Donahoe, Richard Alphonsus",Progressive Conservative Party,Nova Scotia,"Clark, Charles Joseph",1979.09.13 - 1984.09.27  (Retirement),1979-09-13 00:00:00,1984-09-27 00:00:00,Retirement,1841,True
"Donnelly, James J.",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1948.10.20  (Death),1913-05-26 00:00:00,1948-10-20 00:00:00,Death,12931,True
"Doody, C. William",Progressive Conservative Party,Newfoundland and Labrador,"Clark, Charles Joseph",1979.10.03 - 2005.12.27  (Death),1979-10-03 00:00:00,2005-12-27 00:00:00,Death,9582,True
"Doone, James Joseph Hayes",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1949.06.25 - 1953.04.06  (Death),1949-06-25 00:00:00,1953-04-06 00:00:00,Death,1381,True
"Douglas, James Moffat",Independent Liberal,Saskatchewan,"Laurier, Wilfrid",1906.03.08 - 1920.08.19  (Death),1906-03-08 00:00:00,1920-08-19 00:00:00,Death,5278,True
"Downe, Percy E.",Liberal Party of Canada,Prince Edward Island,"Chrétien, Joseph Jacques Jean",2003.06.26 -,2003-06-26 00:00:00,2013-10-01 22:20:10.165196,,3750,False
"Doyle, Norman E.",Conservative Party of Canada,Newfoundland and Labrador,"Harper, Stephen",2012.01.06 -,2012-01-06 00:00:00,2013-10-01 22:20:10.165196,,634,False
"Doyle, Richard J.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1985.03.19 - 1998.03.10  (Retirement),1985-03-19 00:00:00,1998-03-10 00:00:00,Retirement,4739,True
"Drouin, Mark Robert",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1957.10.04 - 1963.10.12  (Death),1957-10-04 00:00:00,1963-10-12 00:00:00,Death,2199,True
"Drummond, George Alexander",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1888.12.01 - 1910.02.02  (Death),1888-12-01 00:00:00,1910-02-02 00:00:00,Death,7732,True
"Du Tremblay, Pamphile Réal Blaise Nugent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.11.19 - 1955.10.06  (Death),1942-11-19 00:00:00,1955-10-06 00:00:00,Death,4704,True
"Duchesnay, Antoine Juchereau",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1871.01.07  (Resignation),1867-10-23 00:00:00,1871-01-07 00:00:00,Resignation,1172,True
"Duchesnay, Henri Elzéar Juchereau",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1871.05.12  (Death),1867-10-23 00:00:00,1871-05-12 00:00:00,Death,1297,True
"Duff, William",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1936.02.28 - 1953.04.25  (Death),1936-02-28 00:00:00,1953-04-25 00:00:00,Death,6266,True
"Duffus, Joseph James",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.15 - 1957.02.07  (Death),1940-02-15 00:00:00,1957-02-07 00:00:00,Death,6202,True
"Duffy, Michael",Conservative Party of Canada,Prince Edward Island,"Harper, Stephen",2009.01.02 -,2009-01-02 00:00:00,2013-10-01 22:20:10.165196,,1733,False
"Duggan, James",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1966.07.08 - 1978.02.28  (Resignation),1966-07-08 00:00:00,1978-02-28 00:00:00,Resignation,4253,True
"Duhamel, Ron J.",Liberal Party of Canada,Manitoba,"Chrétien, Joseph Jacques Jean",2002.01.15 - 2002.09.30  (Death),2002-01-15 00:00:00,2002-09-30 00:00:00,Death,258,True
"Dumouchel, Léandre",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1882.09.23  (Death),1867-10-23 00:00:00,1882-09-23 00:00:00,Death,5449,True
"Dupuis, Vincent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.04.18 - 1967.05.11  (Death),1945-04-18 00:00:00,1967-05-11 00:00:00,Death,8058,True
"Dyck, Lillian Eva",New Democratic Party,Saskatchewan,"Martin, Paul Edgar Philippe",2005.03.24 -,2005-03-24 00:00:00,2013-10-01 22:20:10.165196,,3113,False
"Eaton, Nicole",Conservative Party of Canada,Ontario,"Harper, Stephen",2009.01.02 -,2009-01-02 00:00:00,2013-10-01 22:20:10.165196,,1733,False
"Edwards, William Cameron",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1903.03.17 - 1921.09.17  (Death),1903-03-17 00:00:00,1921-09-17 00:00:00,Death,6759,True
"Eggleton, Art",Liberal Party of Canada,Ontario,"Martin, Paul Edgar Philippe",2005.03.24 -,2005-03-24 00:00:00,2013-10-01 22:20:10.165196,,3113,False
"Elliott, John Campbell",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.01.29 - 1941.12.20  (Death),1940-01-29 00:00:00,1941-12-20 00:00:00,Death,691,True
"Ellis, John Valentine",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1900.09.03 - 1913.06.10  (Death),1900-09-03 00:00:00,1913-06-10 00:00:00,Death,4663,True
"Emerson, Clarence Vernon",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1957.10.12 - 1963.09.25  (Death),1957-10-12 00:00:00,1963-09-25 00:00:00,Death,2174,True
"Emmerson, Henry Read",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1949.06.25 - 1954.06.21  (Death),1949-06-25 00:00:00,1954-06-21 00:00:00,Death,1822,True
"Enverga, Jr., Tobias C.",Conservative Party of Canada,Ontario,"Harper, Stephen",2012.09.06 -,2012-09-06 00:00:00,2013-10-01 22:20:10.165196,,390,False
"Eudes, Raymond Pierre",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1968.04.08 - 1980.10.25  (Death),1968-04-08 00:00:00,1980-10-25 00:00:00,Death,4583,True
"Euler, William Daum",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.05.11 - 1961.07.15  (Death),1940-05-11 00:00:00,1961-07-15 00:00:00,Death,7735,True
"Everett, Douglas Donald",Liberal Party of Canada,Manitoba,"Pearson, Lester Bowles",1966.11.08 - 1994.01.20  (Resignation),1966-11-08 00:00:00,1994-01-20 00:00:00,Resignation,9935,True
"Ewasew, John",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.17 - 1978.03.26  (Death),1976-12-17 00:00:00,1978-03-26 00:00:00,Death,464,True
